EventID,NTSB_Number,EventType,EventDate,EventDateTime,EventTime,EventTimezone,EventState,EventSiteZipCode,Latitude,Longitude,LatitudeDecimal,LongitudeDecimal
20260120202315,WPR26LA083,ACC,2026-01-19,2026-01-19 16:10:00.000,16:10,UTC,WY,82838,044567N,1072737W,44.935309,-107.46031
20251228202213,ERA26FA077,ACC,2025-12-28,2025-12-28 16:24:00.000,16:24,UTC,NJ,08037,393939N,0744611W,39.66095,-74.769759
20250831200906,WPR25FA268,ACC,2025-08-31,2025-08-31 16:40:00.000,16:40,UTC,CO,80701,402026N,1034837W,40.34054,-103.81023
20250721200589,WPR25LA219,ACC,2025-07-19,2025-07-19 19:00:00.000,19:00,UTC,CA,95023,365315N,1212416W,36.887566,-121.40454
20250714200531,CEN25LA250,ACC,2025-07-12,2025-07-12 13:30:00.000,13:30,UTC,MO,64491,402644N,0095222W,40.445489,-95.367306
20250709200494,CEN25LA242,INC,2025-07-07,2025-07-07 20:57:00.000,20:57,UTC,TX,78025,030439N,0991425W,30.0774,-99.2403
20250219199723,WPR25FA097,ACC,2025-02-19,2025-02-19 15:28:00.000,15:28,UTC,AZ,NULL,322434N,0111130W,32.409567,-111.2168
20250114199536,WPR25LA077,INC,2025-01-09,2025-01-09 20:38:00.000,20:38,UTC,CA,91406,341235N,1182924W,34.209806,-118.48997
20241223199458,DCA25LA065,ACC,2024-12-21,2024-12-21 23:30:00.000,23:30,UTC,FL,32801,283228N,0812149W,28.541143,-81.36349
20241210199402,ERA25LA072,ACC,2024-12-09,2024-12-09 21:30:00.000,21:30,UTC,FL,33476,264745N,0804140W,26.795833,-80.6945
20240922195157,WPR24FA309,ACC,2024-09-22,2024-09-22 19:48:00.000,19:48,UTC,CA,93535,034450N,0011820W,34.75,-118.03333
20240916195128,WPR24FA304,ACC,2024-09-16,2024-09-16 16:46:00.000,16:46,UTC,NV,89423,003914N,1194619W,39.017692,-119.77181
20240910195091,WPR24LA302,ACC,2024-09-06,2024-09-06 17:52:00.000,17:52,UTC,OR,97801,454127N,1185021W,45.69093,-118.83914
20240730194807,ERA24LA332,ACC,2024-07-28,2024-07-28 20:08:00.000,20:08,UTC,NY,12571,415813N,0735144W,41.970403,-73.862086
20240726194773,GAA24WA227,ACC,2024-07-24,2024-07-24 22:10:00.000,22:10,UTC,NULL,NULL,001827S,1235544E,-18.035154,123.928859
20240711194675,CEN24FA260,ACC,2024-07-11,2024-07-11 19:07:00.000,19:07,UTC,LA,71223,325547N,0913658W,32.929721,-91.616178
20240716194705,GAA24WA217,ACC,2024-07-09,2024-07-09 16:34:00.000,16:34,UTC,NULL,NULL,535000N,59652314,5350,1140549
20240620194510,WPR24FA201,ACC,2024-06-20,2024-06-20 18:58:00.000,18:58,UTC,ID,83213,043359N,1132410W,43.58576,-113.40286
20240614194470,CEN24FA221,ACC,2024-06-14,2024-06-14 13:40:00.000,13:40,UTC,TX,79379,033389N,0102405W,33.635704,-102.66797
20240207193757,CEN24LA110,ACC,2024-02-01,2024-02-01 20:30:00.000,20:30,UTC,TX,77484,301134N,0955748W,30.1927,-95.9632
