time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,serials,hour,EventID,NTSB_Number,EventTimeUTC
2018-07-29 18:22:43+00:00,aacc5b,46.22744285454184,-86.64971923828125,258.8026597371,140.6464859983627,-0.32512,UAL804,False,False,False,6222,11277.6,11506.2,1532888562.397,1532888562.772,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:22:44+00:00,aacc5b,46.225616455078125,-86.64762915634526,258.8026597371,140.6464859983627,-0.32512,UAL804,False,False,False,6222,11269.980000000001,11506.2,1532888563.386,1532888563.388,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:22:45+00:00,aacc5b,46.225616455078125,-86.64762915634526,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888563.386,1532888564.983,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:22:46+00:00,aacc5b,46.225616455078125,-86.64762915634526,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888563.386,1532888565.832,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:22:47+00:00,aacc5b,46.225616455078125,-86.64762915634526,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888563.386,1532888566.813,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:22:48+00:00,aacc5b,46.21916198730469,-86.63999231850227,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888567.027,1532888567.799,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:22:49+00:00,aacc5b,46.21916198730469,-86.63999231850227,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888567.027,1532888568.802,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:22:50+00:00,aacc5b,46.21394348144531,-86.63382925638336,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888569.926,1532888569.928,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:22:51+00:00,aacc5b,46.213058213056144,-86.63275909423828,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11277.6,11498.580000000002,1532888570.834,1532888570.835,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:22:52+00:00,aacc5b,46.21035818326271,-86.62960052490234,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888571.812,1532888571.852,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:22:53+00:00,aacc5b,46.20947369074417,-86.62850189208984,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888572.437,1532888572.807,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:22:54+00:00,aacc5b,46.20784436242055,-86.62664794921875,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888573.723,1532888573.756,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:22:55+00:00,aacc5b,46.205144332627114,-86.62342071533203,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888574.805,1532888574.805,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
